Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,voc,accuracy,precision,kedro_command,run_id,kedro_version,pipeline_name,git_sha,env,project_path
2022-04-08 23:26:45,31ms,5547fdd92b984f07b753f3027975480f,run_lstmconv,LOCAL,/mnt/085dd464-7946-4395-acfd-e22026d52e9d/home/yasmmin/anaconda3/envs/unknown_classification/bin/kedro,yasmmin,FINISHED,,0.5021428571428571,0.5021428571428571,,,,,,,
2022-04-08 23:22:11,4.6min,a5368e1ad99444acb19414d277f944e2,model_lstmconv,LOCAL,/mnt/085dd464-7946-4395-acfd-e22026d52e9d/home/yasmmin/anaconda3/envs/unknown_classification/bin/kedro,yasmmin,FINISHED,all,,,kedro run --pipeline=model_lstmconv,2022-04-09T02.22.01.026Z,0.17.7,model_lstmconv,None,local,/mnt/085dd464-7946-4395-acfd-e22026d52e9d/home/yasmmin/Dropbox/phd/portfolio/unknown_classification/workflow_covid19
2022-04-08 23:21:43,11ms,07a86788c9a949f49f6ea2fdf24e3d07,run_lstmgru,LOCAL,/mnt/085dd464-7946-4395-acfd-e22026d52e9d/home/yasmmin/anaconda3/envs/unknown_classification/bin/kedro,yasmmin,FINISHED,,0.6571428571428571,0.6246738725307491,,,,,,,
2022-04-08 23:06:29,15.2min,7556dfa7fb4146b0b72a7fcebfb77069,model_lstmgru,LOCAL,/mnt/085dd464-7946-4395-acfd-e22026d52e9d/home/yasmmin/anaconda3/envs/unknown_classification/bin/kedro,yasmmin,FINISHED,all,,,kedro run --pipeline=model_lstmgru,2022-04-09T02.06.06.381Z,0.17.7,model_lstmgru,None,local,/mnt/085dd464-7946-4395-acfd-e22026d52e9d/home/yasmmin/Dropbox/phd/portfolio/unknown_classification/workflow_covid19
2022-04-08 23:04:22,181ms,ebd1f131968d492bb0a11800b81a3530,run_conv3layer,LOCAL,/mnt/085dd464-7946-4395-acfd-e22026d52e9d/home/yasmmin/anaconda3/envs/unknown_classification/bin/kedro,yasmmin,FINISHED,,0.7197619047619047,0.72512077294686,,,,,,,
2022-04-08 22:57:34,6.8min,46b34cc3f8544de68fc70db6f0f4832c,model_conv3layer,LOCAL,/mnt/085dd464-7946-4395-acfd-e22026d52e9d/home/yasmmin/anaconda3/envs/unknown_classification/bin/kedro,yasmmin,FINISHED,all,,,kedro run --pipeline=model_conv3layer,2022-04-09T01.57.10.661Z,0.17.7,model_conv3layer,None,local,/mnt/085dd464-7946-4395-acfd-e22026d52e9d/home/yasmmin/Dropbox/phd/portfolio/unknown_classification/workflow_covid19
2022-04-08 22:52:24,141ms,90108d113aff4122953a58ca2a63407d,run_conv2d,LOCAL,/mnt/085dd464-7946-4395-acfd-e22026d52e9d/home/yasmmin/anaconda3/envs/unknown_classification/bin/kedro,yasmmin,FINISHED,,0.7302380952380952,0.7052144659377628,,,,,,,
2022-04-08 22:43:03,9.4min,8c30c4b0e9f14b4bb78e20f4da82581d,model_conv2d,LOCAL,/mnt/085dd464-7946-4395-acfd-e22026d52e9d/home/yasmmin/anaconda3/envs/unknown_classification/bin/kedro,yasmmin,FINISHED,all,,,kedro run --pipeline=model_conv2d,2022-04-09T01.42.38.926Z,0.17.7,model_conv2d,None,local,/mnt/085dd464-7946-4395-acfd-e22026d52e9d/home/yasmmin/Dropbox/phd/portfolio/unknown_classification/workflow_covid19
2022-04-08 22:41:16,107ms,7193024dfecc4502995aa026f243d67e,run_conv1d,LOCAL,/mnt/085dd464-7946-4395-acfd-e22026d52e9d/home/yasmmin/anaconda3/envs/unknown_classification/bin/kedro,yasmmin,FINISHED,,0.7645238095238095,0.7409638554216867,,,,,,,
2022-04-08 22:39:51,1.4min,43c89f23f4014204851053cd39e50ff1,model_conv1d,LOCAL,/mnt/085dd464-7946-4395-acfd-e22026d52e9d/home/yasmmin/anaconda3/envs/unknown_classification/bin/kedro,yasmmin,FINISHED,all,,,kedro run --pipeline=model_conv1d,2022-04-09T01.39.47.938Z,0.17.7,model_conv1d,None,local,/mnt/085dd464-7946-4395-acfd-e22026d52e9d/home/yasmmin/Dropbox/phd/portfolio/unknown_classification/workflow_covid19
2022-04-08 22:29:35,98ms,1e6e7b5c517a407fbadb8bdd1784c32f,run_bilstm,LOCAL,/mnt/085dd464-7946-4395-acfd-e22026d52e9d/home/yasmmin/anaconda3/envs/unknown_classification/bin/kedro,yasmmin,FINISHED,,0.5021428571428571,0.5021428571428571,,,,,,,
2022-04-08 21:48:57,40.6min,f51d7013d99e4ad482af3271a69aa201,model_bilstm,LOCAL,/mnt/085dd464-7946-4395-acfd-e22026d52e9d/home/yasmmin/anaconda3/envs/unknown_classification/bin/kedro,yasmmin,FINISHED,all,,,kedro run --pipeline=model_bilstm,2022-04-09T00.48.32.208Z,0.17.7,model_bilstm,None,local,/mnt/085dd464-7946-4395-acfd-e22026d52e9d/home/yasmmin/Dropbox/phd/portfolio/unknown_classification/workflow_covid19
2022-04-08 21:24:29,181ms,68d85e54f3e0457cac8f5a90bcb7d341,run_bigru,LOCAL,/mnt/085dd464-7946-4395-acfd-e22026d52e9d/home/yasmmin/anaconda3/envs/unknown_classification/bin/kedro,yasmmin,FINISHED,,0.5021428571428571,0.5021428571428571,,,,,,,
2022-04-08 20:52:09,32.3min,c9624f9ca6924bc385cad151ec0bd922,model_bigru,LOCAL,/mnt/085dd464-7946-4395-acfd-e22026d52e9d/home/yasmmin/anaconda3/envs/unknown_classification/bin/kedro,yasmmin,FINISHED,all,,,kedro run --pipeline=model_bigru,2022-04-08T23.51.35.973Z,0.17.7,model_bigru,None,local,/mnt/085dd464-7946-4395-acfd-e22026d52e9d/home/yasmmin/Dropbox/phd/portfolio/unknown_classification/workflow_covid19
